Store,Dept,Date,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Lag_1,Lag_2,Rolling_Mean,Type_B,Type_C,Size,Month,Risk_Category,Predicted_Sales,Scenario_Sales,Store_Category,Anomaly
1,1,2011-11-11,18689.54,False,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,39886.06,31579.9,28376.824999999997,False,False,151315,11,Normal,18449.375400000015,18449.375400000015,High,False
1,1,2011-11-18,19050.66,False,62.25,3.308,6074.12,254.39,51.98,427.39,5988.57,218.2205088,7.866,18689.54,39886.06,27301.539999999997,False,False,151315,11,Normal,19403.28760000001,19403.28760000001,High,False
1,1,2011-11-25,20911.25,True,60.14,3.236,410.31,98.0,55805.51,8.0,554.92,218.4676211,7.866,19050.66,18689.54,24634.377499999995,False,False,151315,11,Normal,27226.797200000008,31310.81678000001,High,False
1,1,2011-12-02,25293.49,False,48.91,3.172,5629.51,68.0,1398.11,2084.64,20475.32,218.7147333,7.866,20911.25,19050.66,20986.234999999997,False,False,151315,12,Normal,25215.233399999994,25215.233399999994,High,False
1,1,2011-12-09,33305.92,False,43.93,3.158,4640.65,19.0,105.02,3639.42,14461.82,218.9618456,7.866,25293.49,20911.25,24640.329999999994,False,False,151315,12,Normal,32652.926999999992,32652.926999999992,High,False
1,1,2011-12-16,45773.03,False,51.63,3.159,5011.32,67.0,347.37,225.79,4011.37,219.1794533,7.866,33305.92,25293.49,31320.922499999993,False,False,151315,12,Normal,43988.116400000006,43988.116400000006,High,False
1,1,2011-12-23,46788.75,False,47.96,3.112,2725.36,40.48,634.7,24.9,2739.43,219.3577216,7.866,45773.03,33305.92,37790.29749999999,False,False,151315,12,Normal,45025.2544,45025.2544,High,False
1,1,2011-12-30,23350.88,True,44.55,3.129,5762.1,46011.38,260.36,983.65,4735.78,219.5359898,7.866,46788.75,45773.03,37304.645,False,False,151315,12,Normal,24883.482999999993,28616.00544999999,High,False
1,1,2012-01-06,16567.69,False,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483.0,219.7142581,7.348,23350.88,46788.75,33120.087499999994,False,False,151315,1,Normal,18614.71659999998,18614.71659999998,High,False
1,1,2012-01-13,16894.4,False,48.53,3.261,5183.29,8025.87,42.24,453.08,3719.38,219.8925263,7.348,16567.69,23350.88,25900.429999999993,False,False,151315,1,Normal,18029.34580000001,18029.34580000001,High,False
1,1,2012-01-20,18365.1,False,54.11,3.268,4139.87,2807.19,33.88,500.62,3400.21,219.9856893,7.348,16894.4,16567.69,18794.517499999994,False,False,151315,1,Normal,18008.547199999994,18008.547199999994,High,False
1,1,2012-01-27,18378.16,False,54.26,3.29,1164.46,1082.74,44.0,11.0,1222.19,220.0788523,7.348,18365.1,16894.4,17551.337499999994,False,False,151315,1,Normal,17724.7686,17724.7686,High,False
1,1,2012-02-03,23510.49,False,56.55,3.36,34577.06,3579.21,160.53,32403.87,5630.4,220.1720153,7.348,18378.16,18365.1,19287.0375,False,False,151315,2,Normal,22166.9278,22166.9278,High,False
1,1,2012-02-10,36988.49,True,48.02,3.409,13925.06,6927.23,101.64,8471.88,6886.04,220.2651783,7.348,23510.49,18378.16,24310.559999999998,False,False,151315,2,Normal,35354.36679999999,40657.52181999999,High,False
1,1,2012-02-17,54060.1,False,45.32,3.51,9873.33,11062.27,9.8,8409.31,3402.66,220.4257586,7.348,36988.49,23510.49,33234.31,False,False,151315,2,Normal,52012.21020000003,52012.21020000003,High,False
1,1,2012-02-24,20124.22,False,57.25,3.555,9349.61,7556.01,3.2,1219.92,8143.59,220.636902,7.348,54060.1,36988.49,33670.825,False,False,151315,2,Normal,22256.534599999984,22256.534599999984,High,False
1,1,2012-03-02,20113.03,False,60.96,3.63,15441.4,1569.0,10.8,25390.88,8067.61,220.8480454,7.348,20124.22,54060.1,32821.45999999999,False,False,151315,3,Normal,18261.55080000001,18261.55080000001,High,False
1,1,2012-03-09,21140.07,False,58.76,3.669,10331.04,151.88,6.0,671.43,5509.84,221.0591887,7.348,20113.03,20124.22,28859.354999999996,False,False,151315,3,Normal,29386.520600000003,29386.520600000003,High,False
1,1,2012-03-16,22366.88,False,64.74,3.734,4298.16,7.5,2.02,2724.65,2017.69,221.2118132,7.348,21140.07,20113.03,20936.049999999996,False,False,151315,3,Normal,22893.354999999996,22893.354999999996,High,False
1,1,2012-03-23,22107.7,False,65.93,3.787,6118.56,9.48,4.97,426.72,3657.22,221.2864126,7.348,22366.88,21140.07,21431.92,False,False,151315,3,Normal,22003.74779999999,22003.74779999999,High,False
1,1,2012-03-30,28952.86,False,67.61,3.845,10309.58,0.5,10.25,1654.17,2642.78,221.3610119,7.348,22107.7,22366.88,23641.877499999995,False,False,151315,3,Normal,26960.559200000007,26960.559200000007,High,False
1,1,2012-04-13,34684.21,False,69.07,3.891,6186.19,3288.69,17.07,1822.55,1063.78,221.5102105,7.143,57592.12,28952.86,35834.222499999996,False,False,151315,4,Normal,33503.25199999999,33503.25199999999,High,False
1,1,2012-04-20,16976.19,False,66.76,3.877,2230.8,612.02,19.75,275.13,5747.1,221.5640737,7.143,34684.21,57592.12,34551.344999999994,False,False,151315,4,Normal,16789.683599999986,16789.683599999986,High,False
1,1,2012-06-01,16065.49,False,77.95,3.501,6086.21,12.0,370.51,148.75,3690.85,221.7472139,7.143,16963.55,18517.79,17427.757499999996,False,False,151315,6,Normal,16177.465399999995,16177.465399999995,High,False
1,1,2012-06-08,17666.0,False,78.3,3.452,8813.81,116.8,64.55,2652.04,7161.91,221.7494839,7.143,16065.49,16963.55,17303.207499999997,False,False,151315,6,Normal,17897.6374,17897.6374,High,False
1,1,2012-06-15,17558.82,False,79.35,3.393,5621.99,109.6,0.25,2420.28,3083.26,221.7626421,7.143,17666.0,16065.49,17063.464999999997,False,False,151315,6,Normal,17291.908399999993,17291.908399999993,High,False
1,1,2012-06-22,16633.41,False,78.39,3.346,8624.56,171.25,3.05,2524.07,7063.68,221.8030211,7.143,17558.82,17666.0,16980.929999999997,False,False,151315,6,Normal,16896.948400000005,16896.948400000005,High,False
1,1,2012-07-06,17823.37,False,81.57,3.227,12218.76,94.4,192.83,4066.01,6149.04,221.8837789,6.908,15722.82,16633.41,16934.604999999996,False,False,151315,7,Normal,17372.9108,17372.9108,High,False
1,1,2012-07-13,16566.18,False,77.12,3.256,7218.13,45.2,36.24,3909.38,2596.37,221.9241579,6.908,17823.37,15722.82,16686.444999999996,False,False,151315,7,Normal,16711.21720000001,16711.21720000001,High,False
